iter	Logloss
0	0.6481049528
1	0.6172224222
2	0.5885948889
3	0.5706275468
4	0.557750348
5	0.5451973984
6	0.5333459599
7	0.5198781908
8	0.5086650258
9	0.5028823381
10	0.4913158613
11	0.4815013925
12	0.4779339427
13	0.4704314556
14	0.4646122726
15	0.4579742274
16	0.4523892747
17	0.4444744464
18	0.4396382361
19	0.4347324175
20	0.4302144788
21	0.4268424437
22	0.4222852176
23	0.4164747258
24	0.4115624182
25	0.4080121542
26	0.4032901882
27	0.4003679728
28	0.3974883089
29	0.3922577691
30	0.389459315
31	0.3878018881
32	0.3855283285
33	0.3830691465
34	0.3797131175
35	0.3779451822
36	0.3760533284
37	0.3715055013
38	0.3687571889
39	0.3661412898
40	0.3644775705
41	0.3617956417
42	0.3595902748
43	0.357839958
44	0.3559279294
45	0.3539225785
46	0.3515650956
47	0.3489268981
48	0.3470988323
49	0.3445110911
50	0.3416097189
51	0.3399806858
52	0.3378441014
53	0.335619425
54	0.3329297095
55	0.3315960992
56	0.3304385156
57	0.327989303
58	0.3260301806
59	0.3244664694
60	0.3218949308
61	0.3193143471
62	0.3162634938
63	0.3136876096
64	0.3110636288
65	0.3090498816
66	0.3078061527
67	0.3043779786
68	0.3017452673
69	0.3007534066
70	0.2980686856
71	0.2961040379
72	0.2934740991
73	0.2918320489
74	0.2898656314
75	0.2873504678
76	0.2856736331
77	0.2828042335
78	0.2797895215
79	0.2773513204
80	0.2737101919
81	0.2726716897
82	0.2722966302
83	0.2693070874
84	0.2656226994
85	0.2636595854
86	0.2612672393
87	0.2606314236
88	0.2591042273
89	0.2573460058
90	0.2570365237
91	0.254893824
92	0.2524081161
93	0.2503162266
94	0.2498302656
95	0.2481000251
96	0.2462071291
97	0.2445667699
98	0.2414115827
99	0.2390522121
