iter	Passed	Remaining
0	41	4112
1	63	3114
2	89	2878
3	100	2415
4	119	2266
5	137	2148
6	165	2196
7	177	2044
8	188	1908
9	213	1925
10	223	1807
11	238	1746
12	249	1670
13	266	1635
14	283	1609
15	292	1537
16	308	1506
17	321	1463
18	331	1411
19	341	1364
20	348	1309
21	358	1270
22	368	1233
23	374	1187
24	384	1152
25	391	1114
26	399	1078
27	407	1047
28	413	1013
29	422	985
30	432	962
31	439	933
32	447	909
33	455	883
34	463	860
35	469	835
36	475	809
37	485	791
38	493	771
39	498	748
40	507	730
41	515	712
42	525	696
43	532	677
44	540	660
45	550	645
46	555	626
47	562	609
48	569	592
49	575	575
50	582	560
51	589	543
52	598	530
53	604	515
54	612	501
55	618	485
56	625	471
57	633	458
58	640	445
59	649	433
60	661	423
61	667	409
62	674	396
63	680	382
64	688	370
65	695	358
66	702	345
67	708	333
68	713	320
69	718	307
70	727	297
71	734	285
72	744	275
73	750	263
74	757	252
75	765	241
76	772	230
77	781	220
78	788	209
79	795	198
80	800	187
81	807	177
82	814	166
83	819	156
84	828	146
85	834	135
86	839	125
87	847	115
88	852	105
89	860	95
90	868	85
91	876	76
92	888	66
93	898	57
94	906	47
95	915	38
96	922	28
97	928	18
98	934	9
99	941	0
